FID,CRN,course_num,campus,credits,course_name,course_type,building,room_num,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,start,end,Time,size,max_size,instructor,OBJECTID,BIN,FCODE,ADDRESS,BASE_ELEVA,APPROX_HGT,MAX_HGT,PARCEL_ID_,PARCEL_I_1,Shape__Are,Shape__Len,landuse,Shape_Leng,Shape_Area
64,42013,"PSY 2104, 001",Main,3,Foundations of Sensation and Perception,Class,Weiss Hall,0B032,No,No,No,Thursday,No,No,No,03:30�PM,04:50�PM,Afternoon,75,75,Thomas F. Shipley (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
505,39295,"CSCD 3305, 001",Main,2,Teaching and Learning: The Preceptor Experience,Class,Weiss Hall,351,No,Tuesday,Wednesday,No,No,No,No,03:30�PM,04:20�PM,Afternoon,8,18,Jodi Reich (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4955,6604,"PSY 8015, 001",Main,0 TO 1,Teaching of Psychology,Class,Weiss Hall,400,Monday,No,No,No,No,No,No,03:30�PM,05:00�PM,Afternoon,21,25,Jason Chein (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
92,21642,"PSY 3096, 003",Main,3,Conducting Psychological Research,Class,Weiss Hall,400,No,Tuesday,Wednesday,Thursday,No,No,No,03:30�PM,04:50�PM,Afternoon,20,20,Pamela J. Shapiro (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4948,31208,"PSY 5003, 001",Main,3,Advanced Statistics,Class,Weiss Hall,640,No,Tuesday,Wednesday,Thursday,No,No,No,03:30�PM,04:50�PM,Afternoon,8,20,David V. Smith (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
6652,6521,"ENG 0802, 063",Main,4,Analytical Reading and Writing,Class,Weiss Hall,642,No,Tuesday,Wednesday,Thursday,No,No,No,03:30�PM,05:10�PM,Afternoon,23,23,Matthew C. Harrington (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
1795,44233,"CPSY 5519, 001",Main,3,Group Counseling,Class,Weiss Hall,312,No,No,No,Thursday,No,No,No,05:30�PM,08:00�PM,Evening,11,20,Joyce Beldecos (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
66,4999,"PSY 2201, 002",Main,3,Foundations of Psychopathology,Class,Weiss Hall,0B037,No,Tuesday,Wednesday,No,No,No,No,05:30�PM,08:00�PM,Evening,47,49,Eunice Y. Chen (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
80,39483,"PSY 2931, 001",Main,3,Honors: Foundations of Developmental Psychology,Class,Weiss Hall,704,No,Tuesday,Wednesday,No,No,No,No,05:30�PM,08:00�PM,Evening,26,26,Harold J. Wright (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
2512,29292,"SBS 9389, 001",Main,3,MPH Fieldwork II,Class,Weiss Hall,351,No,Tuesday,Wednesday,No,No,No,No,05:30�PM,08:00�PM,Evening,9,12,Anne Frankel (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
1796,3831,"CPSY 5519, 002",Main,3,Group Counseling,Class,Weiss Hall,312,Monday,No,No,No,No,No,No,05:30�PM,08:00�PM,Evening,13,20,Joyce Beldecos (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
1807,38989,"CPSY 9185, 003",Main,3,Master's Internship in Counseling Psychology,Class,Weiss Hall,312,No,No,No,No,No,No,No,05:30�PM,08:00�PM,Evening,13,14,Lawrence M. Serinsky (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3489,44563,"SPSY 9688, 003",Main,3,Psychoeducational Clinic,Class,Weiss Hall,312,No,No,No,No,Friday,No,No,08:00�AM,06:00�PM,Morning,12,12,Cathy Fiorello  Monica Mchale-Small (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3488,30355,"SPSY 9688, 002",Main,3,Psychoeducational Clinic,Class,Weiss Hall,312,No,No,No,No,No,Saturday,No,08:00�AM,06:00�PM,Morning,7,7,Xu (Lilya) Jiang (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3225,21430,"NSCI 2001, 001",Main,3,Functional Neuroanatomy,Laboratory,Weiss Hall,965,No,No,No,No,Friday,No,No,09:00�AM,09:50�AM,Morning,20,20,Mansi Shah (Primary) Nola Storey,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7509,2104,"PSY 0816, 001",Main,3,Workings of the Mind,Recitation,Weiss Hall,517,No,No,No,No,Friday,No,No,09:00�AM,09:50�AM,Morning,16,28,Andrew Karpinski (Primary) Kyler R. Lehrbach,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7530,21633,"PSY 1001, 009",Main,3,Introduction to Psychology,Recitation,Weiss Hall,0B037,No,No,No,No,Friday,No,No,09:00�AM,09:50�AM,Morning,14,40,Nora Newcombe  Robert W. Weisberg (Primary) Deborah A. Drabick  Jiana Schnabel,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
106,2149,"PSY 3223, 001",Main,3,Child Psychopathology and Treatment,Class,Weiss Hall,0B035,Monday,No,No,No,Friday,No,No,09:00�AM,09:50�AM,Morning,40,40,Stacy I. Roth (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7048,46183,"ENG 0802, 719",Main,4,Analytical Reading and Writing,Class,Weiss Hall,704,Monday,No,No,No,No,No,No,09:00�AM,10:40�AM,Morning,25,26,Elizabeth Farnsworth (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7049,46184,"ENG 0802, 720",Main,4,Analytical Reading and Writing,Class,Weiss Hall,704,No,No,No,No,No,No,No,09:00�AM,10:40�AM,Morning,26,26,Fani Avramopoulos (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4956,5056,"PSY 8021, 001",Main,3,Graduate Statistics II,Lecture,Weiss Hall,517,Monday,No,No,No,No,No,No,09:00�AM,10:30�AM,Morning,3,15,Andrew Karpinski (Primary) Kaitlyn Campbell,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4957,5057,"PSY 8021, 002",Main,3,Graduate Statistics II,Lecture,Weiss Hall,517,Monday,No,No,No,No,No,No,09:00�AM,10:30�AM,Morning,8,15,Andrew Karpinski (Primary) Kaitlyn Campbell,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
77,6635,"PSY 2502, 001",Main,3,Foundations of Cognitive Neuroscience,Class,Weiss Hall,0B032,No,Tuesday,Wednesday,Thursday,No,No,No,09:30�AM,10:50�AM,Morning,65,65,Peter James (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
139,3813,"SPAN 1002, 013",Main,4,Basic II,Lecture,Weiss Hall,517,No,Tuesday,Wednesday,Thursday,No,No,No,09:30�AM,10:50�AM,Morning,24,24,Yesenia  Escobar Espitia (Primary) Larissa Oliveira Cardoso,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
1631,40398,"HIST 1701, 001",Main,3,World History Ancient,Class,Weiss Hall,0B035,No,Tuesday,Wednesday,Thursday,No,No,No,09:30�AM,10:50�AM,Morning,32,50,James R. Getz (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3229,21435,"NSCI 2122, 001",Main,3,Cellular Neuroscience,Class,Weiss Hall,0B037,No,Tuesday,Wednesday,Thursday,No,No,No,09:30�AM,10:50�AM,Morning,49,49,Mansi Shah (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
5138,3813,"SPAN 1002, 013",Main,4,Basic II,Lecture,Weiss Hall,517,No,Tuesday,Wednesday,Thursday,No,No,No,09:30�AM,10:50�AM,Morning,24,24,Yesenia  Escobar Espitia (Primary) Larissa Oliveira Cardoso,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7519,44586,"PSY 0825, 001",Main,4,Quantitative Methods in the Social Sciences,Lecture,Weiss Hall,711,Monday,No,No,No,No,No,No,09:40�AM,10:50�AM,Morning,14,30,Isabelle Chang (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4374,5029,"FREN 1002, 003",Main,4,Introduction to French II,Class,Weiss Hall,642,No,Tuesday,Wednesday,Thursday,No,No,No,09:50�AM,11:30�AM,Morning,6,24,Akim Gabriel (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3226,23854,"NSCI 2001, 002",Main,3,Functional Neuroanatomy,Laboratory,Weiss Hall,965,No,No,No,No,Friday,No,No,10:00�AM,10:50�AM,Morning,20,20,Mansi Shah (Primary) Nola Storey,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7554,21663,"PSY 1003, 011",Main,3,Statistics for Psychology,Laboratory,Weiss Hall,640,No,No,No,No,Friday,No,No,10:00�AM,10:50�AM,Morning,5,25,Isabelle Chang (Primary) Grace Bennett-Pierre,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
79,26555,"PSY 2601, 001",Main,3,Foundations of Health Psychology,Class,Weiss Hall,0B037,Monday,No,No,No,Friday,No,No,10:00�AM,10:50�AM,Morning,31,60,Lalain Williams (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
1968,6779,"PSY 3304, 001",Main,3,"Personality, Social and Emotional Development",Class,Weiss Hall,0B035,Monday,No,No,No,Friday,No,No,10:00�AM,10:50�AM,Morning,39,40,Ronald D. Taylor (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7520,7289,"PSY 0916, 001",Main,3,Honors Workings of the Mind,Class,Weiss Hall,400,Monday,No,No,No,Friday,No,No,10:00�AM,10:50�AM,Morning,23,25,Dr. Kareem Johnson (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7547,35198,"PSY 1003, 004",Main,3,Statistics for Psychology,Lecture,Weiss Hall,0B032,Monday,No,No,No,No,No,No,10:00�AM,10:50�AM,Morning,23,24,Melinda Mattingly (Primary) Xinhe Zhang,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7548,35197,"PSY 1003, 005",Main,3,Statistics for Psychology,Lecture,Weiss Hall,0B032,Monday,No,No,No,No,No,No,10:00�AM,10:50�AM,Morning,24,25,Melinda Mattingly (Primary) Xinhe Zhang,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7549,36706,"PSY 1003, 006",Main,3,Statistics for Psychology,Lecture,Weiss Hall,0B032,Monday,No,No,No,No,No,No,10:00�AM,10:50�AM,Morning,24,24,Melinda Mattingly (Primary) Xinhe Zhang,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4961,6844,"PSY 8423, 001",Main,3,Psychological Assessment II,Class,Weiss Hall,0B036,No,No,No,No,No,No,No,10:31�AM,12:50�PM,Morning,7,20,Michael Mccloskey (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
7546,27718,"PSY 1003, 003",Main,3,Statistics for Psychology,Laboratory,Weiss Hall,640,No,No,No,No,Friday,No,No,11:00�AM,11:50�AM,Morning,25,25,Isabelle Chang (Primary) Jay Bradford,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
1970,19209,"PSY 3411, 002",Main,3,Social Cognition,Class,Weiss Hall,0B035,Monday,No,No,No,Friday,No,No,11:00�AM,11:50�AM,Morning,33,40,Melinda Mattingly (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4719,7029,"PSY 4696, 002",Main,3,Capstone in Psychology: Evolutionary Psych: The Psychology of Everything,Class,Weiss Hall,517,Monday,No,No,No,Friday,No,No,11:00�AM,11:50�AM,Morning,20,20,Dr. Kareem Johnson (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4959,46695,"PSY 8310, 001",Main,3,Topical Seminar in Cognitive Psychology,Class,Weiss Hall,0B036,No,No,No,Thursday,No,No,No,11:00�AM,01:30�PM,Morning,8,20,Jason Chein (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3243,29559,"NSCI 5002, 001",Main,3,Neurochemistry,Class,Weiss Hall,0B036,No,Tuesday,Wednesday,No,No,No,No,11:00�AM,01:30�PM,Morning,10,15,Mansi Shah (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4310,5947,"GUS 0821, 003",Main,4,Digital Mapping: From Mercator to Mashups,Laboratory,Weiss Hall,640,No,Tuesday,Wednesday,No,No,No,No,11:00�AM,12:20�PM,Morning,26,30,David J. Organ (Primary) Caitlin A. Joseph,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4964,39276,"PSY 8481, 001",Main,3,"Social, Cognitive, and Developmental Aspects of Behavior",Class,Weiss Hall,416,No,Tuesday,Wednesday,No,No,No,No,11:00�AM,01:30�PM,Morning,10,16,Nora Newcombe  Robert W. Weisberg  Deborah A. Drabick (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
4960,6841,"PSY 8410, 001",Main,3,Multicultural Issues in Clinical Psychology,Class,Weiss Hall,416,No,No,No,No,No,No,No,11:00�AM,01:30�PM,Morning,10,10,Will Vincent (Primary),22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3219,7591,"NSCI 0817, 001",Main,3,Brain Matters,Lecture,Weiss Hall,0B037,Monday,No,No,No,No,No,No,11:00�AM,11:50�AM,Morning,21,22,Rani Vasudeva (Primary) Matt Mattoni,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3220,25100,"NSCI 0817, 002",Main,3,Brain Matters,Lecture,Weiss Hall,0B037,Monday,No,No,No,No,No,No,11:00�AM,11:50�AM,Morning,21,22,Rani Vasudeva (Primary) Matt Mattoni,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
3221,7594,"NSCI 0817, 003",Main,3,Brain Matters,Lecture,Weiss Hall,0B037,Monday,No,No,No,No,No,No,11:00�AM,11:50�AM,Morning,20,22,Rani Vasudeva (Primary) Matt Mattoni,22814375,1003857,1810,1701-11 N 13TH ST,87.9,130,176,508330,PWD,2240.375,309.981328,Civic/Institution,778.8263149,14143.32788
